Run, Event, px, py, pz, energy, pt
146436, 90626440, -2.51277, -31.8662, -11.5644, 34.4774, 31.9651
146436, 90626440, 8.93791, -4.60247, 91.1898, 91.7775, 10.0533
146436, 90626440, 6.68901, 7.18929, 3.26287, 10.8988, 9.81981
146436, 90626440, 0.145317, 8.58087, -78.5493, 79.037, 8.5821
146436, 90626440, -7.77955, -3.27545, 17.75, 19.8243, 8.44097
146436, 90626440, 0.666032, 8.02224, 10.2472, 13.3172, 8.04984
146436, 90626440, -5.7284, -5.55872, 155.734, 155.949, 7.98211
146436, 90626440, 7.48907, -1.39517, 32.1114, 33.0537, 7.61792
146436, 90626440, -0.514644, 7.40488, 220.471, 220.608, 7.42275
146436, 90626440, -6.58304, -3.05184, 6.52762, 9.94721, 7.25604
146436, 90626440, 4.81683, 4.68406, 275.79, 275.878, 6.7188
146436, 90626440, 5.41321, -3.89534, 121.672, 121.866, 6.66907
146436, 90626440, -5.39738, -3.81298, 33.8479, 34.5654, 6.60837
146436, 90626440, 0.188852, 5.80654, 54.5158, 54.8505, 5.80961
146436, 90626440, -2.17256, -5.34274, 14.9803, 16.1347, 5.76757
146436, 90626440, 1.1793, 5.25178, -3.12057, 6.35204, 5.38256
146436, 90626440, -3.88932, 2.95732, 3.75325, 6.40413, 4.88595
146436, 90626440, 4.48568, 1.51518, 0.239623, 4.91782, 4.73467
146436, 90626440, -4.49722, 0.969134, -101.687, 101.798, 4.60046
146436, 90626440, -3.38467, -2.479, -26.8499, 27.1997, 4.19541
146436, 90626440, 4.10822, 0.18284, 3.23061, 5.43847, 4.11228
146436, 90626440, -1.64412, 3.72326, 10.6809, 11.529, 4.07011
146436, 90626440, -1.52716, -3.75842, 4.74296, 6.4057, 4.05684
146436, 90626440, -3.28793, -1.41267, -2.07399, 4.24379, 3.57857
146436, 90626440, -2.73447, 2.21068, 19.4135, 19.7337, 3.5163
146436, 90626440, -0.217194, 3.46786, 242.827, 242.855, 3.47466
146436, 90626440, 0.589517, -3.36201, 8.111, 8.86527, 3.41331
146436, 90626440, -1.69854, -2.71756, -3.68891, 4.9661, 3.20471
146436, 90626440, -2.52984, 1.8721, 57.1981, 57.2897, 3.14719
146436, 90626440, -3.09591, -0.479911, -4.12091, 5.26597, 3.13289
