Run, Event, particleType, px, py, pz, energy, pt
146436, 90626440, 1, -0.83237, -0.230856, 3.5804, 3.68577, 0.863791
146436, 90626440, 1, -0.861764, -0.158585, 1.78081, 1.98961, 0.876234
146436, 90626440, 1, -1.3114, -0.502622, 3.00195, 3.31717, 1.40442
146436, 90626440, 1, -1.51114, -0.747797, -0.779523, 1.86276, 1.68604
146436, 90626440, 1, -2.61449, -1.15748, 7.1421, 7.69444, 2.85925
146436, 90626440, 1, -3.12966, -1.6571, 2.89566, 4.57658, 3.54129
146436, 90626440, 1, -1.54125, -0.827204, 6.75978, 6.98383, 1.74921
146436, 90626440, 1, 0.310157, -0.344932, 0.220501, 0.532237, 0.46387
146436, 90626440, 1, -0.462184, 0.348596, 0.0720961, 0.599843, 0.578907
146436, 90626440, 1, -0.446925, 0.174472, 0.329154, 0.598335, 0.479773
146436, 90626440, 1, 0.463125, -0.168352, 1.24635, 1.34748, 0.492775
146436, 90626440, 1, -0.556107, -0.840647, 4.6349, 4.74528, 1.00794
146436, 90626440, 5, -0.383059, -0.820042, 3.29757, 3.41953, 0.905098
146436, 90626440, 1, -1.1531, -0.875338, 1.53519, 2.11474, 1.44771
146436, 90626440, 1, -0.487987, -0.548252, 0.251378, 0.788278, 0.733969
146436, 90626440, 1, -0.495638, -0.792732, 0.796946, 1.2364, 0.934923
146436, 90626440, 1, -0.571612, -0.354594, 1.10343, 1.29981, 0.672664
146436, 90626440, 1, -0.337282, -0.854271, 0.397919, 1.01062, 0.918444
146436, 90626440, 1, 0.383333, -0.139135, 1.54201, 1.60112, 0.407803
146436, 90626440, 1, 0.415767, -0.455495, 0.413755, 0.755653, 0.616716
146436, 90626440, 1, -0.358856, 0.214846, 0.322174, 0.546088, 0.418254
146436, 90626440, 1, 0.23674, 0.267159, 0.231334, 0.447677, 0.356959
146436, 90626440, 1, 0.315162, 0.0191319, 0.198271, 0.398101, 0.315743
146436, 90626440, 5, -0.317349, 1.87451, 18.2237, 18.3226, 1.90118
146436, 90626440, 1, 0.0160367, 0.704662, 4.74598, 4.80006, 0.704844
146436, 90626440, 5, 0.154659, 0.58159, 5.75189, 5.78329, 0.601803
146436, 90626440, 1, -0.349489, -1.01476, 1.45713, 1.8151, 1.07325
146436, 90626440, 1, -0.17146, -1.80848, -0.0913401, 1.82423, 1.81659
146436, 90626440, 1, -0.165447, -1.05029, -0.454215, 1.16459, 1.06324
146436, 90626440, 1, -0.171232, -1.69395, -0.900293, 1.93101, 1.70259
146436, 90626440, 1, -0.0416412, -1.54792, -0.624606, 1.67553, 1.54848
146436, 90626440, 1, -0.179595, -3.44162, -1.58973, 3.79785, 3.4463
146436, 90626440, 3, -0.313726, -8.06761, -3.03891, 8.62733, 8.07371
146436, 90626440, 1, 0.0178455, -1.20036, -1.3907, 1.84247, 1.20049
146436, 90626440, 1, 0.123846, -1.05938, -0.612181, 1.23769, 1.0666
146436, 90626440, 1, 0.17574, -0.553077, 0.244563, 0.645034, 0.580326
146436, 90626440, 1, 0.298531, -0.512922, -0.10534, 0.618697, 0.593473
146436, 90626440, 1, 0.575816, -0.972232, 1.22468, 1.67216, 1.12995
146436, 90626440, 1, 0.360587, -0.521932, -0.348616, 0.73719, 0.634378
146436, 90626440, 1, 2.6502, -0.435845, 10.8855, 11.2128, 2.6858
146436, 90626440, 1, 0.70059, -0.0795842, 0.396414, 0.820844, 0.705096
146436, 90626440, 1, 0.841242, -0.174568, -0.134404, 0.880741, 0.859163
146436, 90626440, 1, 1.37114, 0.236234, 0.386233, 1.45069, 1.39134
146436, 90626440, 1, 0.608628, 0.147569, -0.867262, 1.07881, 0.626262
146436, 90626440, 1, 1.07403, 0.434314, 0.0322822, 1.16734, 1.15852
146436, 90626440, 1, 1.41116, 0.71321, -0.11802, 1.59168, 1.58115
146436, 90626440, 1, 0.431818, 0.408097, -1.49575, 1.61548, 0.594146
146436, 90626440, 1, 0.613585, 0.764451, -0.911136, 1.34556, 0.980241
146436, 90626440, 1, 1.90418, 2.67808, 1.37138, 3.56345, 3.28603
146436, 90626440, 1, 0.282728, 0.480035, 0.985214, 1.14039, 0.557108
146436, 90626440, 1, 0.00599178, 0.358086, 0.597822, 0.710727, 0.358136
146436, 90626440, 1, 0.330764, 0.291173, 0.156025, 0.487863, 0.440666
146436, 90626440, 5, -0.48189, 0.128648, 4.25729, 4.28641, 0.498767
146436, 90626440, 1, 0.615634, 0.438627, 0.417259, 0.874633, 0.755909
146436, 90626440, 1, -0.214127, 0.425252, 0.625341, 0.798261, 0.476119
